"Spot","Spot_alt","10m_Gel1_IS","10m_Gel1_Total (Cy3)","10m_Gel1_Carbonyl (Cy5)","10m_Gel2_IS","10m_Gel2_Total (Cy3)","10m_Gel2_Carbonyl (Cy5)","10m_Gel3_IS","10m_Gel3_Total (Cy3)","10m_Gel3_Carbonyl (Cy5)","10m_Gel4_IS","10m_Gel4_Total (Cy3)","10m_Gel4_Carbonyl (Cy5)","30m_Gel1_IS","30m_Gel1_Total (Cy3)","30m_Gel1_Carbonyl (Cy5)","30m_Gel2_IS","30m_Gel2_Total (Cy3)","30m_Gel2_Carbonyl (Cy5)","30m_Gel3_IS","30m_Gel3_Total (Cy3)","30m_Gel3_Carbonyl (Cy5)","30m_Gel4_IS","30m_Gel4_Total (Cy3)","30m_Gel4_Carbonyl (Cy5)","75m_Gel1_IS","75m_Gel1_Total (Cy3)","75m_Gel1_Carbonyl (Cy5)","75m_Gel2_IS","75m_Gel2_Total (Cy3)","75m_Gel2_Carbonyl (Cy5)","75m_Gel3_IS","75m_Gel3_Total (Cy3)","75m_Gel3_Carbonyl (Cy5)","75m_Gel4_IS","75m_Gel4_Total (Cy3)","75m_Gel4_Carbonyl (Cy5)"
272,14,226963.290545119,12763.2876295546,78375.1308347729,210653.750406592,10627.1705376226,86225.0881209373,120081.207018139,8261.5827064785,82940.9010015276,76719.663171097,4946.8689725525,69416.313078138,163726.465528976,32182.8208101304,82292.1977820589,168157.833088389,27130.9805434367,125825.009074153,84890.4817413669,14885.2842963461,93538.1932668185,108982.705297877,23030.2314399015,87065.7464548943,393309.546576856,164714.814027747,455723.140823149,294404.711808766,106396.594292297,384397.682416728,234316.189745527,92809.9531397838,239662.987388493,138413.287128536,50414.3959579004,182138.671095912
286,15,864738.038104544,71483.349814914,164648.523534968,1100397.6958067,87812.5676806022,220398.033657488,709283.710465417,56783.3339419734,163585.181110817,520209.676388684,46607.685654641,169188.208062402,1117329.2531948,273327.453909393,315185.413142167,1268713.79820246,280905.732855131,333457.300599189,1016352.78480515,238442.844992185,246727.635764963,790282.209315388,189242.539320867,152595.938521404,2026289.78685903,1085206.63605144,573905.304310747,1379983.08306321,659592.814017843,464300.460989473,1048140.09205166,546520.57781087,424331.701312759,1140446.23023674,609149.276352782,381369.842073467
284,16,1879430.96761438,114840.036858229,437109.020538969,2179376.26167212,126972.706511497,392894.111991817,785963.557206079,42212.6057698186,271017.521081436,1041458.7837263,57097.3500642859,237647.978593899,1357316.69162723,268306.264244384,669053.83256797,1689058.2085739,305708.822830407,895089.398067622,1071468.61042924,192894.565047254,578886.520355567,1076109.47666803,182516.630407327,508882.907384455,1611775.955579,762539.185304967,2051103.83771742,1408053.42337334,574404.157940074,1538524.80008321,1602580.10861683,686115.449543679,1974450.08870069,1692597.57040093,720768.751314809,1747283.70634022
295,17,1965041.06461059,160879.304803967,537346.060969465,2636019.59140358,177105.494166856,703188.24268655,2899934.37690879,204642.752873295,695948.276385168,1264945.42402781,98230.444996641,354822.68917702,2048095.05723809,459805.30391511,1651949.78297174,2946378.59806638,564515.682032948,1737904.19773527,1666178.99394977,363714.304011805,1021432.07042524,3657938.74869319,779672.23427054,1522534.47097749,3688065.9690852,1951642.28476129,5476119.35742855,2498759.5439264,1064378.25873635,3302458.2760133,1170402.92631498,574993.647923092,1790557.93184611,2282489.25392468,1136721.4660802,3033535.12616705
292,18,768635.181886274,67491.7777195376,245797.689195946,891027.292580922,66425.7524464298,294427.300288478,855334.790488635,67484.5663474196,227865.311482326,438083.093262067,38357.7145951691,132271.647489016,1086002.9027942,272792.546586183,657931.146321409,983383.902221396,198999.015200588,529375.39612626,645300.789519283,148322.169877131,397804.097988415,1881644.25940834,441816.540151467,675231.055890944,1248036.32130654,682297.72571209,1681192.60760189,945627.931777471,427798.740631207,1122512.95429727,470897.506715557,245460.299155585,657366.981988695,884946.148170147,471332.546730998,1015890.6108827
289,19,55567.9053392499,4033.4304835701,43359.7666745851,109233.421450813,5770.5682624958,47281.7800689004,83090.9699966327,4357.9181764801,42660.8646782869,31360.1241745915,2222.0251927792,41839.2816452778,25655.1154046866,5593.3989126411,27919.5410365387,64928.4819330709,10100.3497146181,57296.8225488498,26134.6712080562,5270.4661001001,48863.0906798915,35220.1500471779,6484.8607547605,44413.3778418799,101343.087754713,52236.3805076597,86214.9544473511,59999.2007649262,19810.2613524093,58910.8307253562,24882.414998707,11852.2697190217,47620.9948741239,80534.1468982706,37365.0566057142,64722.3890003103
342,20,755534.24967601,42828.7538751154,290329.507155235,1041787.87303057,62358.6735730585,262558.897761569,814121.568353442,44386.0775709373,217892.721271391,509137.617157859,36730.8451208866,208681.122748788,702044.780487134,126748.874707917,432687.931223574,1657736.62850034,307201.084798394,686877.63211369,916265.920615816,188363.55130795,458412.814372609,966105.583180475,176900.048412094,377964.225314424,1169423.04263437,543278.975982004,1180505.44986789,1111181.14608287,417522.18370702,1213680.2650507,697754.243890502,285213.774015995,861092.717230586,747386.388729616,286812.471537266,910581.762293738
343,21,2676096.75298823,170873.2270914,494851.098340754,3102729.77287434,183366.22687606,765028.942111587,2093578.30216183,124133.268591052,375065.870003624,1377313.70552343,90817.3715371054,312322.530008048,2505659.13483288,471097.619369652,974814.187299072,2696416.92557476,445203.604357993,1009288.42778084,1620689.3856095,280783.299676306,706161.966538302,2330319.3935385,412477.558887142,861854.126400662,3786253.30578675,1616937.22040902,3159790.75672703,3276024.18996863,1263973.53301302,2555654.04735581,2158027.97696444,897095.819127846,1907410.59792359,2386264.41286458,977597.097556234,1973013.69431843
349,22,1296245.95185148,89366.2498563338,280591.285420509,1455429.80060922,89362.4849079066,346089.736263926,1996520.14240721,105971.856386703,259392.728528062,1312216.14455926,88719.7588703279,240024.262499684,1281890.54125611,257792.650104083,426496.24578298,1483346.53257425,333873.099298811,667194.836933795,1671797.48676744,310170.599327165,477228.577766384,1522685.46991119,291478.623564293,439972.641891272,1939504.45924496,883946.945405399,1197110.1363089,2437668.66754296,1021972.17515012,1391718.18105906,1316562.38999161,581668.964863362,843604.654237197,1537333.80167616,691099.709059462,912212.057748092
344,23,4449094.49810758,395452.831918988,658119.291782051,5324068.3586655,415279.794468715,658664.344072037,3065397.90610377,237628.45770775,398798.696580685,2038772.44376364,177889.363428546,310286.323485699,3962571.16015537,1019359.53827521,1071917.68788588,4775578.00559977,1008999.14896972,1268460.69206608,3060982.86154016,697802.807270968,869219.487788201,3446802.36685683,797791.582372807,833679.500788498,6037211.58291897,3170003.93852129,3560454.61805338,5523118.50220885,2598626.76910356,2996196.33669918,4282842.10887119,2164825.36206068,2437313.23810543,4922118.08927059,2531888.61492903,2460505.40356365
