Spot,C_Gel1_IS,C_Gel1_Total (Cy3),C_Gel1_Carbonyl (Cy5),C_Gel2_IS,C_Gel2_Total (Cy3),C_Gel2_Carbonyl (Cy5),C_Gel3_IS,C_Gel3_Total (Cy3),C_Gel3_Carbonyl (Cy5),C_Gel4_IS,C_Gel4_Total (Cy3),C_Gel4_Carbonyl (Cy5),T_Gel1_IS,T_Gel1_Total (Cy3),T_Gel1_Carbonyl (Cy5),T_Gel2_IS,T_Gel2_Total (Cy3),T_Gel2_Carbonyl (Cy5),T_Gel3_IS,T_Gel3_Total (Cy3),T_Gel3_Carbonyl (Cy5),T_Gel4_IS,T_Gel4_Total (Cy3),T_Gel4_Carbonyl (Cy5)
618,3054565.33232798,261541.805501942,410142.968286079,2923580.64657694,244182.303493069,434024.728904209,2549585.36047548,205689.763663182,339388.168857242,2516004.27779342,239804.578130539,321775.120971056,3042399.8663386,168281.464902814,449360.794391892,3299440.60382718,183094.174245791,372821.776052754,2331636.11803709,72724.4276686923,268316.848323266,2940136.42948183,182203.405078555,304535.893437457
629,698427.859097339,64328.3034194102,583377.640547877,1863288.124021,124129.624882265,775420.927511353,1225507.10739178,105631.214506828,611230.950022964,929326.348028315,85577.3523272154,570939.365641354,1318268.6887782,77385.3025231618,470510.214163709,888747.980411371,54475.6742583027,382324.643467607,1182833.04223813,33810.1615520052,335303.936542171,1030699.97112906,63009.3123891262,411271.953908766
615,771962.047944315,67811.9145694324,170111.54733868,816636.413733256,72706.7668690363,229406.865991593,1063906.62388415,84915.4210641188,175724.410348029,851789.649044235,79937.2098162101,123102.068805697,744918.620234945,42193.2007678179,144543.777331098,803240.994017276,49444.4250325812,166434.774521974,785469.522008572,27396.9113983455,147230.722907241,748366.359841517,45303.3210334948,152173.524658788
617,163895.221774346,14242.4808395626,195342.409493596,213101.977385328,14798.8564041064,206304.086700907,157994.073667041,12957.7705684752,152596.746265586,177650.548947769,16665.6322843136,151309.88548685,196961.963562986,13355.7742364849,163579.361817575,156857.130328006,13353.8190813527,117978.869754017,237436.890038548,9008.7865576921,124675.261878914,221035.353808866,15109.5697182683,140932.442767397
645,4137294.52138947,346623.328764603,679254.274303771,4602870.29628663,343459.598014808,694573.435022198,5618553.48134563,464283.436470869,707729.835125993,4475382.46900844,428635.806085298,651057.216843549,3246796.95088439,184829.548217261,555040.439863114,3809894.54709485,226812.8967619,392495.68406675,5112747.39432808,173371.303238128,435218.546837511,4278932.030352,268445.783597722,344812.310523228
643,934114.700883423,76806.4882646128,320828.657800077,1207405.5603286,91625.7077130355,356470.936271559,800191.08906035,65834.5289251281,245803.703818397,766235.426525905,73985.0779129522,220068.666086667,1123588.49575308,67228.4288010055,339935.588334988,1068663.21316368,63074.0913098422,305592.779634937,1004513.29577479,34042.6271688368,208107.552529814,808344.037391651,52637.8590756547,205854.388074668
612,117206.494578577,10641.0078995146,290671.037015854,121095.508251262,9621.7602892264,301190.323038564,252422.192243401,21585.9969019356,263895.56777626,147640.24259496,13359.474059642,224703.540404726,59553.7403803413,7029.2384610558,252230.345026789,152122.627199832,11422.7458628242,206907.544249789,202445.100969908,10429.4012756036,199477.657853122,129712.588547297,8592.624464975,198642.643134864
623,849847.267755131,77284.5925684489,88197.4154620261,484285.179877316,43126.3309310671,59552.5131520375,870761.621136991,74260.2886647687,71653.8521486422,766921.00415277,74548.6431023832,65545.3257401473,415817.602206476,23776.6743709092,148657.089092216,749872.280094366,41963.4044488245,125671.781980797,603060.300284872,18330.646609372,72745.8963291279,977307.537614256,56668.7110223105,75094.7839409138
610,81878.4667223069,7176.9145856249,15574.8947071842,79006.7460170201,6844.2488166469,19037.0776410182,58043.0773919419,4588.663550174,13692.1401778801,76611.2468968721,6870.6089040863,13035.8411213456,44887.5073155675,2942.9163860043,19563.2682367524,66835.1016023614,5042.6890370138,15811.2127270418,73499.6778093185,2512.0419430092,12026.2838345398,56731.5693645929,4122.9347473312,12164.5666692574
644,2612078.53430892,214022.838059514,516211.747349902,3673785.60289478,262324.589544264,646266.783798142,838859.887743656,62401.4077878623,305646.790580234,2166426.43419786,189843.318747279,548208.087433158,1909238.51508962,126252.027016149,789498.324360348,2338424.27457764,142582.88302569,726016.915351269,2776575.66040489,88312.7945286702,810351.943852714,2385899.81606167,182429.442712513,754716.689321665
