"SampleName","glycan","area","narea"
"D_08","GP3",20726,0.0963741179461851
"D_09","GP3",20273,0.0970356246099345
"D_10","GP3",18801,0.106861969643266
"D_11","GP3",20341,0.103659019157681
"D_12","GP3",20433,0.104999293170226
"D_13","GP3",24043,0.111323188352047
"D_14","GP3",17539,0.0857092662912478
"D_15","GP3",19951,0.0936127184920427
"D_16","GP3",19106,0.0937954869574396
"D_17","GP3",22065,0.10481836708518
"D_18","GP3",22248,0.102131438313447
"D_19","GP3",19494,0.100614453198589
"D_20","GP3",20680,0.098679456058606
"D_21","GP3",22377,0.108369750790254
"D_22","GP3",19494,0.0973119119334685
"D_23","GP3",17855,0.0860518795238986
"D_24","GP3",23709,0.114053169876205
"E_01","GP3",20638,0.104238061590259
"E_02","GP3",20681,0.102877961347913
"E_03","GP3",21380,0.106566887893478
"E_04","GP3",20302,0.10191379263781
"E_05","GP3",22979,0.121281834832287
"E_06","GP3",21514,0.108372165349307
"E_07","GP3",21523,0.107240975649228
"E_08","GP3",22649,0.110267705783229
"E_09","GP3",20240,0.0983040559019808
"E_10","GP3",23222,0.110032232118637
"E_11","GP3",19475,0.101992864636798
"E_12","GP3",19393,0.092290153045656
"E_13","GP3",19800,0.098607856277157
"E_14","GP3",22087,0.102358011220963
"E_15","GP3",20644,0.100315660983214
"E_16","GP3",21144,0.0976889611935869
"E_17","GP3",20845,0.0984661807994018
"E_18","GP3",21499,0.107353995894093
"E_19","GP3",22184,0.101688620587719
"E_20","GP3",19488,0.108040028697578
"E_21","GP3",20774,0.0972865464376541
"E_22","GP3",22126,0.109875124929199
"E_23","GP3",19505,0.102766177835804
"E_24","GP3",26845,0.134675482756045
"E_25","GP3",27275,0.126007895694013
"E_26","GP3",21058,0.0992368311622312
"E_27","GP3",21658,0.100018777188478
"E_28","GP3",17504,0.0975352675190564
"E_29","GP3",18677,0.105418429378853
"E_30","GP3",19813,0.0969030446229399
"E_31","GP3",21308,0.106436123665109
"E_32","GP3",21969,0.106855269695376
"E_33","GP3",17994,0.0933331770345818
"E_34","GP3",25268,0.148313079590088
"E_35","GP3",18881,0.105438142081764
"E_35_R2","GP3",18174,0.134010291524369
